room_no,date,time_slot,booked_by,capacity,occupancy,utilization_pct
Room 101,2026-07-16,10:00,Course 459,30,10,33.3
Auditorium A,2026-07-21,14:00,Course 292,100,75,75.0
Lab 2,2026-07-04,14:00,Course 223,100,40,40.0
Auditorium A,2026-07-13,10:00,Course 238,100,18,18.0
Seminar 1,2026-07-14,12:00,Course 109,200,77,38.5
Lab 2,2026-07-03,14:00,Course 235,100,65,65.0
Conference 1,2026-07-16,08:00,Course 382,30,7,23.3
Auditorium A,2026-07-21,12:00,Course 402,200,40,20.0
Conference 1,2026-07-14,14:00,Course 198,60,19,31.7
Lab 1,2026-07-14,08:00,Course 301,30,28,93.3
Lab 2,2026-07-12,10:00,Course 281,60,52,86.7
Room 204,2026-07-21,10:00,Course 187,30,29,96.7
Conference 1,2026-07-01,12:00,Course 169,30,20,66.7
Lab 1,2026-07-21,10:00,Course 393,60,48,80.0
Lab 1,2026-07-17,12:00,Course 423,60,11,18.3
Auditorium A,2026-07-13,08:00,Course 332,100,54,54.0
Seminar 1,2026-07-04,14:00,Course 317,200,29,14.5
Seminar 1,2026-07-07,10:00,Course 181,200,121,60.5
Room 101,2026-07-26,14:00,Course 195,200,174,87.0
Room 101,2026-07-17,12:00,Course 278,60,31,51.7
Room 204,2026-07-27,08:00,Course 303,40,25,62.5
Lab 1,2026-07-07,14:00,Course 314,100,41,41.0
Lab 2,2026-07-02,10:00,Course 331,100,75,75.0
Conference 1,2026-07-23,14:00,Course 195,30,18,60.0
Seminar 1,2026-07-09,12:00,Course 145,40,35,87.5
Auditorium A,2026-07-01,14:00,Course 484,60,57,95.0
Room 204,2026-07-16,10:00,Course 306,40,2,5.0
Auditorium A,2026-07-15,08:00,Course 423,30,29,96.7
Room 101,2026-07-09,08:00,Course 102,40,9,22.5
Lab 2,2026-07-28,08:00,Course 442,100,73,73.0
Auditorium A,2026-07-12,12:00,Course 193,40,14,35.0
Conference 1,2026-07-15,08:00,Course 365,100,59,59.0
Room 101,2026-07-08,10:00,Course 444,200,152,76.0
Conference 1,2026-07-13,12:00,Course 211,30,3,10.0
Lab 2,2026-07-27,10:00,Course 360,40,19,47.5
Room 101,2026-07-27,10:00,Course 499,60,8,13.3
Auditorium A,2026-07-20,14:00,Course 414,40,24,60.0
Lab 2,2026-07-28,10:00,Course 156,100,23,23.0
Room 204,2026-07-15,10:00,Course 151,200,65,32.5
Room 101,2026-07-05,14:00,Course 319,30,3,10.0
Room 204,2026-07-20,08:00,Course 423,30,5,16.7
Lab 2,2026-07-08,10:00,Course 250,40,28,70.0
Lab 1,2026-07-14,14:00,Course 396,60,23,38.3
Auditorium A,2026-07-05,12:00,Course 342,60,16,26.7
Auditorium A,2026-07-14,10:00,Course 179,40,13,32.5
Lab 2,2026-07-12,10:00,Course 349,100,6,6.0
Seminar 1,2026-07-10,10:00,Course 123,30,25,83.3
Lab 2,2026-07-06,10:00,Course 118,60,36,60.0
Lab 2,2026-07-08,14:00,Course 488,30,2,6.7
Room 101,2026-07-20,08:00,Course 357,200,112,56.0
Room 204,2026-07-24,14:00,Course 142,40,16,40.0
Seminar 1,2026-07-09,14:00,Course 358,40,34,85.0
Room 101,2026-07-17,14:00,Course 201,200,79,39.5
Seminar 1,2026-07-14,10:00,Course 283,60,35,58.3
Lab 2,2026-07-01,08:00,Course 417,40,3,7.5
Lab 1,2026-07-16,14:00,Course 252,40,40,100.0
Conference 1,2026-07-11,14:00,Course 423,30,18,60.0
Lab 1,2026-07-13,14:00,Course 451,40,19,47.5
Lab 1,2026-07-24,12:00,Course 194,40,25,62.5
Seminar 1,2026-07-28,12:00,Course 124,30,7,23.3
Lab 1,2026-07-02,12:00,Course 453,40,16,40.0
Lab 1,2026-07-24,12:00,Course 249,60,52,86.7
Conference 1,2026-07-05,10:00,Course 334,30,24,80.0
Lab 2,2026-07-04,14:00,Course 278,60,19,31.7
Seminar 1,2026-07-17,10:00,Course 405,40,29,72.5
Conference 1,2026-07-05,12:00,Course 253,100,61,61.0
Auditorium A,2026-07-09,10:00,Course 394,200,60,30.0
Room 204,2026-07-28,12:00,Course 337,200,63,31.5
Auditorium A,2026-07-11,10:00,Course 403,40,1,2.5
Conference 1,2026-07-18,12:00,Course 455,30,1,3.3
Lab 2,2026-07-03,14:00,Course 327,200,156,78.0
Auditorium A,2026-07-01,12:00,Course 324,30,30,100.0
Room 101,2026-07-11,08:00,Course 358,200,187,93.5
Lab 2,2026-07-12,12:00,Course 331,40,29,72.5
Room 101,2026-07-03,14:00,Course 180,200,33,16.5
Room 101,2026-07-25,12:00,Course 262,100,55,55.0
Room 101,2026-07-27,08:00,Course 498,30,30,100.0
Room 204,2026-07-03,14:00,Course 322,30,16,53.3
Lab 2,2026-07-14,08:00,Course 465,200,34,17.0
Auditorium A,2026-07-23,10:00,Course 449,60,6,10.0
Room 101,2026-07-07,10:00,Course 407,200,115,57.5
Room 101,2026-07-06,10:00,Course 210,40,32,80.0
Room 101,2026-07-28,08:00,Course 154,200,120,60.0
Conference 1,2026-07-20,10:00,Course 348,30,20,66.7
Room 101,2026-07-13,08:00,Course 283,100,100,100.0
Room 204,2026-07-05,10:00,Course 470,30,18,60.0
Auditorium A,2026-07-03,14:00,Course 313,60,2,3.3
Auditorium A,2026-07-10,14:00,Course 408,100,69,69.0
Seminar 1,2026-07-12,12:00,Course 393,40,33,82.5
Conference 1,2026-07-15,14:00,Course 330,60,3,5.0
Seminar 1,2026-07-14,14:00,Course 329,30,5,16.7
Conference 1,2026-07-09,10:00,Course 133,30,0,0.0
Lab 2,2026-07-28,10:00,Course 192,100,47,47.0
Lab 2,2026-07-21,10:00,Course 177,200,75,37.5
Lab 1,2026-07-17,10:00,Course 259,200,102,51.0
Lab 2,2026-07-21,10:00,Course 491,200,34,17.0
Room 204,2026-07-19,12:00,Course 489,100,55,55.0
Room 204,2026-07-02,10:00,Course 291,200,78,39.0
Seminar 1,2026-07-22,08:00,Course 334,60,48,80.0
Auditorium A,2026-07-03,10:00,Course 195,40,18,45.0
Room 204,2026-07-27,10:00,Course 469,100,89,89.0
Seminar 1,2026-07-18,14:00,Course 338,60,18,30.0
Room 101,2026-07-01,14:00,Course 244,40,13,32.5
Room 101,2026-07-12,10:00,Course 269,100,69,69.0
Seminar 1,2026-07-21,08:00,Course 452,100,92,92.0
Room 101,2026-07-15,12:00,Course 198,60,43,71.7
Conference 1,2026-07-13,08:00,Course 424,100,44,44.0
Lab 1,2026-07-18,10:00,Course 190,100,26,26.0
Conference 1,2026-07-09,08:00,Course 254,60,23,38.3
Seminar 1,2026-07-10,14:00,Course 199,200,99,49.5
Lab 2,2026-07-07,10:00,Course 438,40,39,97.5
Auditorium A,2026-07-21,12:00,Course 101,100,42,42.0
Room 204,2026-07-19,10:00,Course 211,100,88,88.0
Auditorium A,2026-07-18,12:00,Course 440,40,24,60.0
Seminar 1,2026-07-14,10:00,Course 434,100,35,35.0
Room 204,2026-07-10,08:00,Course 203,40,23,57.5
Room 101,2026-07-25,14:00,Course 317,60,39,65.0
Lab 1,2026-07-15,14:00,Course 114,100,32,32.0
Seminar 1,2026-07-24,14:00,Course 363,100,60,60.0
Auditorium A,2026-07-16,12:00,Course 146,200,165,82.5
Lab 2,2026-07-21,10:00,Course 268,40,40,100.0
Lab 2,2026-07-17,08:00,Course 319,60,18,30.0
Room 204,2026-07-16,10:00,Course 407,200,81,40.5
Lab 1,2026-07-23,10:00,Course 392,100,16,16.0
Auditorium A,2026-07-16,14:00,Course 345,60,21,35.0
Room 101,2026-07-26,08:00,Course 430,40,8,20.0
Lab 1,2026-07-26,08:00,Course 328,30,10,33.3
Auditorium A,2026-07-15,14:00,Course 480,40,20,50.0
Conference 1,2026-07-03,08:00,Course 355,60,23,38.3
Auditorium A,2026-07-26,08:00,Course 367,40,4,10.0
Room 101,2026-07-02,10:00,Course 455,40,27,67.5
Lab 1,2026-07-08,14:00,Course 218,40,23,57.5
Lab 2,2026-07-22,10:00,Course 112,200,160,80.0
Room 204,2026-07-18,10:00,Course 232,60,14,23.3
Seminar 1,2026-07-08,12:00,Course 211,200,150,75.0
Seminar 1,2026-07-15,08:00,Course 411,40,23,57.5
Lab 2,2026-07-14,14:00,Course 296,200,5,2.5
Conference 1,2026-07-15,08:00,Course 124,40,25,62.5
Room 204,2026-07-14,12:00,Course 402,100,52,52.0
Auditorium A,2026-07-16,12:00,Course 453,30,6,20.0
Seminar 1,2026-07-01,08:00,Course 343,30,5,16.7
Conference 1,2026-07-21,10:00,Course 492,40,17,42.5
Lab 1,2026-07-28,10:00,Course 383,30,1,3.3
Lab 1,2026-07-12,08:00,Course 480,30,26,86.7
Seminar 1,2026-07-26,08:00,Course 497,100,0,0.0
Seminar 1,2026-07-01,14:00,Course 257,60,41,68.3
Seminar 1,2026-07-26,14:00,Course 395,100,17,17.0
Seminar 1,2026-07-17,14:00,Course 164,30,30,100.0
Room 204,2026-07-17,08:00,Course 143,30,26,86.7
Room 204,2026-07-23,08:00,Course 166,40,11,27.5
Seminar 1,2026-07-14,14:00,Course 159,40,14,35.0
Room 101,2026-07-20,08:00,Course 172,30,21,70.0
Room 204,2026-07-16,14:00,Course 146,100,22,22.0
Lab 2,2026-07-17,12:00,Course 247,100,44,44.0
Lab 1,2026-07-12,10:00,Course 122,40,21,52.5
Seminar 1,2026-07-17,10:00,Course 335,200,181,90.5
Room 204,2026-07-13,10:00,Course 179,100,39,39.0
Conference 1,2026-07-21,08:00,Course 302,30,29,96.7
Conference 1,2026-07-19,10:00,Course 480,200,8,4.0
Lab 2,2026-07-09,10:00,Course 198,30,18,60.0
Auditorium A,2026-07-15,12:00,Course 304,200,150,75.0
Conference 1,2026-07-18,08:00,Course 263,100,82,82.0
Conference 1,2026-07-21,08:00,Course 323,60,57,95.0
Conference 1,2026-07-18,14:00,Course 181,100,0,0.0
Room 101,2026-07-01,08:00,Course 146,200,191,95.5
Lab 2,2026-07-26,08:00,Course 381,60,56,93.3
Room 101,2026-07-02,12:00,Course 376,60,29,48.3
Seminar 1,2026-07-26,10:00,Course 373,30,30,100.0
Auditorium A,2026-07-03,10:00,Course 201,40,35,87.5
Lab 1,2026-07-08,08:00,Course 464,40,31,77.5
Room 101,2026-07-08,12:00,Course 387,30,23,76.7
Lab 2,2026-07-02,10:00,Course 486,200,123,61.5
Lab 2,2026-07-15,14:00,Course 117,200,124,62.0
Lab 2,2026-07-21,14:00,Course 115,60,35,58.3
Lab 1,2026-07-13,12:00,Course 188,40,11,27.5
Lab 1,2026-07-22,08:00,Course 148,40,33,82.5
Lab 2,2026-07-26,08:00,Course 331,40,4,10.0
Lab 2,2026-07-26,08:00,Course 222,60,39,65.0
Conference 1,2026-07-18,14:00,Course 281,100,87,87.0
Auditorium A,2026-07-02,12:00,Course 271,200,190,95.0
Seminar 1,2026-07-26,10:00,Course 398,60,33,55.0
Lab 2,2026-07-13,10:00,Course 178,100,13,13.0
Lab 2,2026-07-19,14:00,Course 365,30,21,70.0
Seminar 1,2026-07-12,10:00,Course 102,100,26,26.0
Room 101,2026-07-22,12:00,Course 361,30,11,36.7
Auditorium A,2026-07-11,12:00,Course 496,60,38,63.3
Auditorium A,2026-07-15,14:00,Course 424,30,23,76.7
Conference 1,2026-07-06,08:00,Course 480,200,55,27.5
Auditorium A,2026-07-11,12:00,Course 398,30,16,53.3
Lab 1,2026-07-13,08:00,Course 347,40,17,42.5
Lab 1,2026-07-24,14:00,Course 408,60,7,11.7
Room 101,2026-07-26,10:00,Course 356,30,15,50.0
Auditorium A,2026-07-15,12:00,Course 241,200,124,62.0
Conference 1,2026-07-18,12:00,Course 398,30,0,0.0
Seminar 1,2026-07-12,12:00,Course 396,100,5,5.0
Conference 1,2026-07-17,10:00,Course 324,40,27,67.5
Seminar 1,2026-07-08,14:00,Course 495,60,25,41.7
Room 204,2026-07-17,08:00,Course 322,200,34,17.0
Lab 2,2026-07-20,14:00,Course 331,200,73,36.5
Room 204,2026-07-18,12:00,Course 159,40,9,22.5
Auditorium A,2026-07-15,10:00,Course 460,30,4,13.3
Room 204,2026-07-02,14:00,Course 419,100,7,7.0
Lab 1,2026-07-16,12:00,Course 397,60,35,58.3
Lab 1,2026-07-02,12:00,Course 213,60,6,10.0
Lab 2,2026-07-10,10:00,Course 125,60,1,1.7
Room 204,2026-07-01,10:00,Course 158,100,50,50.0
Lab 1,2026-07-12,14:00,Course 243,60,50,83.3
Room 101,2026-07-12,10:00,Course 129,100,13,13.0
Lab 2,2026-07-01,12:00,Course 470,40,29,72.5
Lab 1,2026-07-02,08:00,Course 430,30,15,50.0
Auditorium A,2026-07-13,08:00,Course 500,200,1,0.5
Seminar 1,2026-07-10,14:00,Course 471,200,1,0.5
Seminar 1,2026-07-11,08:00,Course 149,40,6,15.0
Room 204,2026-07-15,10:00,Course 368,100,38,38.0
Lab 2,2026-07-18,10:00,Course 316,100,68,68.0
Seminar 1,2026-07-09,08:00,Course 223,60,13,21.7
Room 101,2026-07-17,12:00,Course 372,40,34,85.0
Auditorium A,2026-07-03,14:00,Course 276,200,107,53.5
Auditorium A,2026-07-13,08:00,Course 384,100,49,49.0
Auditorium A,2026-07-17,10:00,Course 311,200,36,18.0
Lab 2,2026-07-21,08:00,Course 214,60,49,81.7
Room 101,2026-07-08,14:00,Course 276,60,20,33.3
Room 204,2026-07-28,08:00,Course 190,200,63,31.5
Room 204,2026-07-15,12:00,Course 492,60,9,15.0
Room 101,2026-07-24,10:00,Course 250,200,47,23.5
Room 204,2026-07-05,10:00,Course 410,60,29,48.3
Conference 1,2026-07-16,14:00,Course 465,100,84,84.0
Auditorium A,2026-07-04,12:00,Course 272,200,190,95.0
Lab 2,2026-07-05,12:00,Course 256,30,26,86.7
Auditorium A,2026-07-05,14:00,Course 156,40,6,15.0
Lab 1,2026-07-03,12:00,Course 326,100,6,6.0
Seminar 1,2026-07-27,14:00,Course 281,30,12,40.0
Seminar 1,2026-07-15,14:00,Course 265,200,151,75.5
Auditorium A,2026-07-14,10:00,Course 485,200,0,0.0
Seminar 1,2026-07-02,12:00,Course 445,40,34,85.0
Room 204,2026-07-14,14:00,Course 316,40,20,50.0
Room 101,2026-07-22,12:00,Course 430,30,23,76.7
Auditorium A,2026-07-09,08:00,Course 393,30,17,56.7
Room 204,2026-07-28,12:00,Course 242,60,10,16.7
Room 204,2026-07-04,12:00,Course 462,40,22,55.0
Room 101,2026-07-18,14:00,Course 261,200,28,14.0
Lab 2,2026-07-10,12:00,Course 276,30,9,30.0
Lab 1,2026-07-04,08:00,Course 300,60,59,98.3
Lab 2,2026-07-10,10:00,Course 107,100,71,71.0
Lab 1,2026-07-08,08:00,Course 111,30,28,93.3
Room 204,2026-07-23,10:00,Course 124,60,26,43.3
Lab 1,2026-07-23,10:00,Course 213,200,7,3.5
Lab 1,2026-07-01,14:00,Course 399,60,2,3.3
Seminar 1,2026-07-06,08:00,Course 467,100,59,59.0
Seminar 1,2026-07-19,14:00,Course 277,40,12,30.0
Lab 2,2026-07-07,10:00,Course 281,30,4,13.3
Seminar 1,2026-07-19,12:00,Course 369,60,19,31.7
Room 204,2026-07-22,12:00,Course 453,40,4,10.0
Lab 1,2026-07-07,08:00,Course 440,30,21,70.0
Conference 1,2026-07-26,08:00,Course 180,200,177,88.5
Auditorium A,2026-07-16,08:00,Course 497,40,17,42.5
Seminar 1,2026-07-05,12:00,Course 296,100,31,31.0
Seminar 1,2026-07-28,08:00,Course 435,60,30,50.0
Lab 1,2026-07-22,10:00,Course 189,60,12,20.0
Auditorium A,2026-07-21,12:00,Course 453,60,3,5.0
Conference 1,2026-07-16,10:00,Course 316,40,0,0.0
Seminar 1,2026-07-22,14:00,Course 344,60,36,60.0
Conference 1,2026-07-21,14:00,Course 490,100,41,41.0
Seminar 1,2026-07-23,08:00,Course 458,40,36,90.0
Lab 1,2026-07-08,10:00,Course 133,100,54,54.0
Seminar 1,2026-07-22,10:00,Course 393,30,19,63.3
Conference 1,2026-07-10,12:00,Course 297,200,23,11.5
Room 101,2026-07-11,14:00,Course 261,100,77,77.0
Conference 1,2026-07-28,10:00,Course 388,200,51,25.5
Auditorium A,2026-07-26,14:00,Course 458,30,4,13.3
Room 101,2026-07-09,08:00,Course 392,60,20,33.3
Lab 2,2026-07-28,08:00,Course 307,30,7,23.3
Auditorium A,2026-07-02,12:00,Course 236,40,14,35.0
Lab 1,2026-07-21,14:00,Course 384,100,33,33.0
Auditorium A,2026-07-27,08:00,Course 137,100,15,15.0
Lab 1,2026-07-03,08:00,Course 190,40,22,55.0
Lab 1,2026-07-07,14:00,Course 237,60,44,73.3
Auditorium A,2026-07-17,14:00,Course 344,60,48,80.0
Room 204,2026-07-21,08:00,Course 148,100,35,35.0
Lab 2,2026-07-17,14:00,Course 454,60,40,66.7
Room 204,2026-07-26,08:00,Course 243,40,18,45.0
Auditorium A,2026-07-01,10:00,Course 380,200,100,50.0
Seminar 1,2026-07-17,12:00,Course 452,40,4,10.0
Conference 1,2026-07-18,12:00,Course 288,100,17,17.0
Room 101,2026-07-18,14:00,Course 178,60,10,16.7
Lab 1,2026-07-19,10:00,Course 242,40,21,52.5
Lab 1,2026-07-23,10:00,Course 308,30,12,40.0
Lab 2,2026-07-16,14:00,Course 186,40,8,20.0
Room 101,2026-07-16,10:00,Course 178,60,26,43.3
Room 204,2026-07-19,12:00,Course 418,200,100,50.0
Conference 1,2026-07-23,10:00,Course 423,30,29,96.7
Room 204,2026-07-24,10:00,Course 110,60,15,25.0
Room 101,2026-07-04,14:00,Course 332,60,28,46.7
Conference 1,2026-07-05,14:00,Course 259,200,38,19.0
Auditorium A,2026-07-21,10:00,Course 495,40,22,55.0
Room 204,2026-07-28,10:00,Course 392,100,17,17.0
Conference 1,2026-07-03,12:00,Course 291,200,93,46.5
Auditorium A,2026-07-11,12:00,Course 368,30,21,70.0
Conference 1,2026-07-01,12:00,Course 187,30,24,80.0
Seminar 1,2026-07-26,14:00,Course 222,200,142,71.0
Room 101,2026-07-24,12:00,Course 138,200,150,75.0
Lab 1,2026-07-21,08:00,Course 206,60,7,11.7
Auditorium A,2026-07-19,08:00,Course 475,200,184,92.0
Room 101,2026-07-15,14:00,Course 497,60,32,53.3
Seminar 1,2026-07-01,12:00,Course 319,100,91,91.0
Room 101,2026-07-20,08:00,Course 224,60,28,46.7
Room 101,2026-07-10,14:00,Course 239,30,7,23.3
Conference 1,2026-07-24,12:00,Course 405,40,32,80.0
Room 101,2026-07-06,10:00,Course 196,200,166,83.0
Conference 1,2026-07-12,08:00,Course 151,100,73,73.0
Conference 1,2026-07-08,14:00,Course 381,40,24,60.0
Auditorium A,2026-07-28,08:00,Course 149,200,194,97.0
Room 204,2026-07-01,12:00,Course 470,40,15,37.5
Lab 1,2026-07-17,08:00,Course 455,30,3,10.0
Lab 1,2026-07-12,08:00,Course 165,30,20,66.7
Lab 2,2026-07-03,14:00,Course 200,30,2,6.7
Lab 2,2026-07-06,08:00,Course 277,100,20,20.0
Room 204,2026-07-08,14:00,Course 306,200,151,75.5
Room 204,2026-07-17,14:00,Course 366,100,74,74.0
Seminar 1,2026-07-17,08:00,Course 484,40,6,15.0
Seminar 1,2026-07-01,14:00,Course 352,100,20,20.0
Lab 2,2026-07-26,14:00,Course 229,30,5,16.7
Lab 2,2026-07-18,14:00,Course 143,60,12,20.0
Conference 1,2026-07-25,10:00,Course 347,60,29,48.3
Lab 2,2026-07-21,08:00,Course 395,30,20,66.7
Conference 1,2026-07-24,14:00,Course 104,60,29,48.3
Lab 2,2026-07-24,14:00,Course 342,100,80,80.0
Room 101,2026-07-08,10:00,Course 473,40,15,37.5
Conference 1,2026-07-22,10:00,Course 283,40,34,85.0
Lab 2,2026-07-06,10:00,Course 364,60,33,55.0
Seminar 1,2026-07-25,14:00,Course 492,30,16,53.3
Conference 1,2026-07-08,08:00,Course 299,30,1,3.3
Seminar 1,2026-07-08,08:00,Course 386,100,97,97.0
Auditorium A,2026-07-07,08:00,Course 155,200,32,16.0
Seminar 1,2026-07-14,08:00,Course 227,100,66,66.0
Lab 2,2026-07-23,10:00,Course 279,200,117,58.5
Lab 2,2026-07-15,14:00,Course 262,40,11,27.5
Room 101,2026-07-05,12:00,Course 128,60,51,85.0
Seminar 1,2026-07-02,10:00,Course 429,40,9,22.5
Room 204,2026-07-13,12:00,Course 300,40,33,82.5
Lab 2,2026-07-02,08:00,Course 351,60,42,70.0
Seminar 1,2026-07-28,10:00,Course 242,60,17,28.3
Conference 1,2026-07-17,10:00,Course 483,40,26,65.0
Lab 2,2026-07-11,10:00,Course 447,200,16,8.0
Seminar 1,2026-07-04,10:00,Course 492,30,13,43.3
Conference 1,2026-07-10,08:00,Course 196,60,21,35.0
Auditorium A,2026-07-21,10:00,Course 243,30,6,20.0
Seminar 1,2026-07-21,14:00,Course 224,30,5,16.7
Room 101,2026-07-09,12:00,Course 496,40,16,40.0
Room 101,2026-07-08,08:00,Course 435,60,52,86.7
Room 204,2026-07-27,10:00,Course 375,200,58,29.0
Lab 2,2026-07-27,08:00,Course 461,30,0,0.0
Lab 2,2026-07-16,08:00,Course 206,60,40,66.7
Lab 1,2026-07-28,12:00,Course 324,60,57,95.0
Conference 1,2026-07-06,14:00,Course 469,30,15,50.0
Room 204,2026-07-23,08:00,Course 148,60,30,50.0
Lab 2,2026-07-17,12:00,Course 143,40,13,32.5
Lab 1,2026-07-28,14:00,Course 135,40,24,60.0
Lab 2,2026-07-27,12:00,Course 177,100,33,33.0
Conference 1,2026-07-23,08:00,Course 336,100,8,8.0
Room 204,2026-07-20,10:00,Course 397,40,39,97.5
Lab 1,2026-07-06,12:00,Course 427,100,27,27.0
Seminar 1,2026-07-09,14:00,Course 439,100,14,14.0
Seminar 1,2026-07-01,12:00,Course 325,100,57,57.0
Conference 1,2026-07-18,12:00,Course 155,30,30,100.0
Lab 1,2026-07-22,10:00,Course 365,30,9,30.0
Room 101,2026-07-01,08:00,Course 315,100,54,54.0
Seminar 1,2026-07-21,10:00,Course 186,100,6,6.0
Room 204,2026-07-01,12:00,Course 122,30,15,50.0
Seminar 1,2026-07-09,14:00,Course 277,30,29,96.7
Lab 1,2026-07-28,14:00,Course 458,60,13,21.7
Conference 1,2026-07-09,10:00,Course 469,100,9,9.0
Lab 2,2026-07-21,08:00,Course 406,100,72,72.0
Conference 1,2026-07-19,08:00,Course 141,100,60,60.0
Auditorium A,2026-07-14,10:00,Course 236,30,8,26.7
Auditorium A,2026-07-22,10:00,Course 360,40,23,57.5
Room 204,2026-07-12,08:00,Course 243,100,26,26.0
Auditorium A,2026-07-03,12:00,Course 266,100,15,15.0
Lab 1,2026-07-06,10:00,Course 216,60,41,68.3
Room 204,2026-07-18,10:00,Course 252,60,58,96.7
Room 101,2026-07-28,12:00,Course 201,60,8,13.3
Conference 1,2026-07-27,08:00,Course 331,60,6,10.0
Room 101,2026-07-03,10:00,Course 389,40,23,57.5
Room 204,2026-07-18,08:00,Course 399,30,2,6.7
Lab 1,2026-07-08,14:00,Course 302,60,47,78.3
Seminar 1,2026-07-27,08:00,Course 216,60,34,56.7
Room 101,2026-07-26,12:00,Course 193,40,26,65.0
Auditorium A,2026-07-12,10:00,Course 159,100,26,26.0
Room 204,2026-07-06,12:00,Course 372,30,23,76.7
Lab 1,2026-07-16,14:00,Course 353,30,12,40.0
Auditorium A,2026-07-11,08:00,Course 369,40,26,65.0
Auditorium A,2026-07-23,14:00,Course 459,100,26,26.0
Room 204,2026-07-14,14:00,Course 206,40,31,77.5
Room 101,2026-07-18,10:00,Course 482,200,36,18.0
Lab 2,2026-07-15,14:00,Course 109,100,73,73.0
Room 101,2026-07-04,08:00,Course 181,30,8,26.7
Seminar 1,2026-07-21,10:00,Course 362,100,6,6.0
Seminar 1,2026-07-24,10:00,Course 325,60,23,38.3
Conference 1,2026-07-11,10:00,Course 278,60,27,45.0
Seminar 1,2026-07-17,12:00,Course 262,100,42,42.0
Lab 2,2026-07-13,10:00,Course 180,60,5,8.3
Lab 2,2026-07-26,14:00,Course 307,100,13,13.0
Room 204,2026-07-08,12:00,Course 267,60,58,96.7
Lab 2,2026-07-16,08:00,Course 312,30,14,46.7
Conference 1,2026-07-12,08:00,Course 194,30,19,63.3
Lab 2,2026-07-19,14:00,Course 401,100,59,59.0
Seminar 1,2026-07-18,08:00,Course 469,60,22,36.7
Lab 1,2026-07-01,08:00,Course 115,40,6,15.0
Room 101,2026-07-26,12:00,Course 405,200,177,88.5
Lab 1,2026-07-26,14:00,Course 166,60,48,80.0
Lab 1,2026-07-11,12:00,Course 157,60,3,5.0
Auditorium A,2026-07-23,14:00,Course 444,200,5,2.5
Lab 1,2026-07-18,10:00,Course 255,40,16,40.0
Room 101,2026-07-15,10:00,Course 393,100,82,82.0
Room 204,2026-07-28,08:00,Course 150,30,2,6.7
Seminar 1,2026-07-21,10:00,Course 299,100,87,87.0
Room 204,2026-07-08,14:00,Course 210,40,34,85.0
Lab 2,2026-07-04,12:00,Course 233,40,11,27.5
Seminar 1,2026-07-27,12:00,Course 238,100,43,43.0
Auditorium A,2026-07-26,10:00,Course 257,100,88,88.0
Room 204,2026-07-24,12:00,Course 144,30,9,30.0
Conference 1,2026-07-17,14:00,Course 469,200,10,5.0
Lab 1,2026-07-27,14:00,Course 476,200,86,43.0
Auditorium A,2026-07-27,10:00,Course 362,100,60,60.0
Auditorium A,2026-07-23,14:00,Course 249,40,25,62.5
Room 101,2026-07-19,08:00,Course 237,100,2,2.0
Lab 1,2026-07-02,08:00,Course 293,100,67,67.0
Auditorium A,2026-07-22,14:00,Course 407,40,2,5.0
Room 204,2026-07-22,14:00,Course 285,200,43,21.5
Room 204,2026-07-06,12:00,Course 316,60,46,76.7
Room 204,2026-07-01,14:00,Course 410,200,126,63.0
Conference 1,2026-07-27,08:00,Course 276,60,27,45.0
Conference 1,2026-07-19,12:00,Course 117,100,97,97.0
Room 101,2026-07-09,08:00,Course 379,200,3,1.5
Seminar 1,2026-07-28,14:00,Course 417,60,12,20.0
Seminar 1,2026-07-08,10:00,Course 328,200,21,10.5
Room 101,2026-07-15,10:00,Course 377,200,192,96.0
Room 101,2026-07-18,14:00,Course 487,40,20,50.0
Room 204,2026-07-14,12:00,Course 289,100,40,40.0
Room 101,2026-07-11,14:00,Course 246,40,4,10.0
Conference 1,2026-07-27,14:00,Course 410,40,3,7.5
Auditorium A,2026-07-27,10:00,Course 211,60,29,48.3
Lab 2,2026-07-27,08:00,Course 475,30,21,70.0
Lab 2,2026-07-07,12:00,Course 459,200,57,28.5
Room 204,2026-07-25,12:00,Course 496,40,28,70.0
Lab 1,2026-07-06,14:00,Course 133,100,85,85.0
Auditorium A,2026-07-12,10:00,Course 434,30,18,60.0
Lab 2,2026-07-16,14:00,Course 493,60,28,46.7
Room 204,2026-07-01,12:00,Course 345,200,98,49.0
Conference 1,2026-07-10,08:00,Course 469,40,2,5.0
Lab 1,2026-07-19,10:00,Course 186,100,65,65.0
Room 204,2026-07-17,12:00,Course 283,30,4,13.3
Seminar 1,2026-07-08,08:00,Course 175,200,95,47.5
Seminar 1,2026-07-21,12:00,Course 351,200,159,79.5
Seminar 1,2026-07-18,08:00,Course 473,200,60,30.0
Room 101,2026-07-09,14:00,Course 475,100,55,55.0
Room 204,2026-07-13,14:00,Course 330,30,17,56.7
Lab 1,2026-07-27,12:00,Course 417,60,34,56.7
Lab 2,2026-07-21,14:00,Course 118,60,54,90.0
Room 204,2026-07-04,14:00,Course 360,100,61,61.0
Conference 1,2026-07-23,12:00,Course 493,30,11,36.7
Room 101,2026-07-15,14:00,Course 424,200,18,9.0
Lab 2,2026-07-17,08:00,Course 141,30,22,73.3
Lab 2,2026-07-19,08:00,Course 465,60,26,43.3
Room 101,2026-07-24,10:00,Course 218,200,86,43.0
