roll_no,name,branch,cgpa,technical_score,communication_score,internship_experience,readiness_index
CS27244,Student 25245,Civil,8.1,69.8,46.9,2,60.2
CS27245,Student 25246,Civil,7.2,61.8,36.0,0,49.9
CS27246,Student 25247,Electrical,8.3,59.6,36.4,2,53.4
CS27247,Student 25248,Mechanical,8.3,53.8,39.4,3,52.9
CS27248,Student 25249,Mechanical,8.6,73.1,78.2,1,70.9
CS27249,Student 25250,Mechanical,6.9,51.3,72.9,1,57.2
CS27250,Student 25251,Computer Science,5.5,65.5,72.5,0,59.0
CS27251,Student 25252,Computer Science,9.6,69.7,39.5,2,60.9
CS27252,Student 25253,Electrical,5.1,47.5,42.2,3,44.9
CS27253,Student 25254,Electrical,5.0,52.7,59.2,2,50.8
CS27254,Student 25255,Electrical,5.7,87.8,86.5,3,75.5
CS27255,Student 25256,Computer Science,7.9,47.2,57.5,3,54.9
CS27256,Student 25257,Electrical,9.7,33.9,47.0,2,49.1
CS27257,Student 25258,Electrical,5.9,58.1,87.8,3,64.4
CS27258,Student 25259,Civil,5.9,45.8,58.7,3,50.7
CS27259,Student 25260,Mechanical,8.5,48.5,31.2,0,45.8
CS27260,Student 25261,Computer Science,7.1,91.0,46.3,2,66.5
CS27261,Student 25262,Mechanical,8.5,62.8,62.1,0,60.8
CS27262,Student 25263,Electrical,5.4,77.3,83.4,3,69.7
CS27263,Student 25264,Computer Science,7.0,39.6,76.1,2,54.7
CS27264,Student 25265,Electrical,8.1,59.1,78.7,2,65.5
CS27265,Student 25266,Computer Science,10.0,54.6,95.5,0,70.5
CS27266,Student 25267,Civil,8.1,68.7,77.2,0,66.8
CS27267,Student 25268,Computer Science,9.4,71.5,91.4,1,75.8
CS27268,Student 25269,Electrical,7.5,75.4,62.0,2,65.8
CS27269,Student 25270,Civil,8.8,75.3,87.8,2,76.1
CS27270,Student 25271,Civil,7.9,74.0,42.8,2,60.2
CS27271,Student 25272,Computer Science,7.8,62.7,97.4,1,70.9
CS27272,Student 25273,Electrical,7.7,47.5,98.6,3,67.0
CS27273,Student 25274,Civil,8.1,44.8,97.2,0,63.3
CS27274,Student 25275,Computer Science,9.6,79.7,79.6,0,75.0
CS27275,Student 25276,Computer Science,5.5,80.7,36.2,1,55.1
CS27276,Student 25277,Civil,6.8,83.7,58.5,1,65.6
CS27277,Student 25278,Electrical,9.4,34.4,66.6,2,54.5
CS27278,Student 25279,Computer Science,9.4,54.1,59.1,2,60.2
CS27279,Student 25280,Mechanical,7.7,84.3,82.3,3,76.8
CS27280,Student 25281,Mechanical,6.8,65.9,76.1,2,64.8
CS27281,Student 25282,Civil,6.7,33.6,41.9,2,41.4
CS27282,Student 25283,Computer Science,9.1,51.9,67.8,3,62.3
CS27283,Student 25284,Civil,7.5,84.5,43.4,1,62.8
CS27284,Student 25285,Computer Science,5.9,87.7,87.9,0,73.2
CS27285,Student 25286,Mechanical,6.2,82.0,36.4,2,58.1
CS27286,Student 25287,Computer Science,5.7,75.0,47.6,1,56.7
CS27287,Student 25288,Computer Science,7.2,82.3,59.8,3,68.3
CS27288,Student 25289,Computer Science,8.5,82.2,44.3,3,66.2
CS27289,Student 25290,Mechanical,7.7,97.2,87.5,1,81.5
CS27290,Student 25291,Civil,8.3,83.6,82.0,1,75.6
CS27291,Student 25292,Computer Science,7.4,35.3,80.1,2,55.0
CS27292,Student 25293,Civil,6.7,56.8,65.1,1,56.6
CS27293,Student 25294,Computer Science,8.6,36.1,45.9,3,48.4
CS27294,Student 25295,Civil,9.4,95.6,87.8,2,85.4
CS27295,Student 25296,Electrical,5.8,32.0,52.8,0,40.2
CS27296,Student 25297,Computer Science,7.0,37.0,87.6,3,58.1
CS27297,Student 25298,Mechanical,5.3,40.7,50.9,2,44.2
CS27298,Student 25299,Electrical,7.4,72.4,61.6,0,62.2
CS27299,Student 25300,Computer Science,5.1,32.3,70.6,0,44.3
CS27300,Student 25301,Computer Science,7.8,43.9,33.7,1,44.3
CS27301,Student 25302,Mechanical,7.1,78.7,87.6,0,72.0
CS27302,Student 25303,Civil,5.0,85.2,59.0,0,61.8
CS27303,Student 25304,Electrical,9.4,88.8,49.7,3,72.2
CS27304,Student 25305,Computer Science,7.9,93.9,51.2,1,69.7
CS27305,Student 25306,Mechanical,6.5,47.2,63.1,2,52.8
CS27306,Student 25307,Computer Science,7.3,35.6,76.6,1,52.8
CS27307,Student 25308,Computer Science,7.9,89.5,63.2,1,71.6
CS27308,Student 25309,Computer Science,7.9,71.2,44.9,2,59.8
CS27309,Student 25310,Computer Science,8.0,60.1,97.6,1,70.3
CS27310,Student 25311,Computer Science,9.2,51.2,63.9,0,58.1
CS27311,Student 25312,Computer Science,9.0,46.1,67.5,1,57.7
CS27312,Student 25313,Civil,6.1,74.5,35.9,1,53.8
CS27313,Student 25314,Electrical,5.1,69.6,58.3,1,56.5
CS27314,Student 25315,Civil,8.0,94.5,37.6,0,65.1
CS27315,Student 25316,Mechanical,9.9,63.3,75.9,2,69.9
CS27316,Student 25317,Electrical,9.9,67.9,32.7,2,58.8
CS27317,Student 25318,Civil,7.0,62.1,72.7,3,63.7
CS27318,Student 25319,Civil,5.2,61.2,91.7,1,63.4
CS27319,Student 25320,Civil,8.7,39.5,44.9,2,48.7
CS27320,Student 25321,Mechanical,9.7,59.5,42.5,3,59.0
CS27321,Student 25322,Electrical,7.5,90.5,72.6,3,76.0
CS27322,Student 25323,Electrical,9.2,68.6,77.4,1,70.1
CS27323,Student 25324,Civil,5.3,54.3,77.8,1,56.7
CS27324,Student 25325,Civil,7.4,99.0,49.0,2,71.1
CS27325,Student 25326,Computer Science,7.3,84.3,94.3,1,77.6
CS27326,Student 25327,Electrical,6.0,73.4,32.9,2,53.2
CS27327,Student 25328,Computer Science,6.2,38.7,44.6,0,41.3
CS27328,Student 25329,Mechanical,9.7,50.0,31.6,0,48.9
CS27329,Student 25330,Electrical,8.6,43.2,54.8,0,50.9
CS27330,Student 25331,Civil,8.5,97.6,74.2,3,81.3
CS27331,Student 25332,Computer Science,8.1,44.2,49.0,0,48.6
CS27332,Student 25333,Mechanical,8.8,55.5,90.3,2,68.9
CS27333,Student 25334,Civil,9.1,53.5,69.2,1,61.4
CS27334,Student 25335,Mechanical,9.4,75.4,77.4,3,75.2
CS27335,Student 25336,Civil,5.7,77.7,71.9,1,65.1
CS27336,Student 25337,Mechanical,8.4,94.3,42.4,0,67.2
CS27337,Student 25338,Computer Science,6.3,50.2,78.2,2,58.1
CS27338,Student 25339,Electrical,8.2,72.6,78.6,0,69.0
CS27339,Student 25340,Computer Science,5.6,33.5,68.4,0,45.1
CS27340,Student 25341,Electrical,7.6,84.2,57.5,1,67.1
CS27341,Student 25342,Mechanical,10.0,83.7,64.3,3,75.8
CS27342,Student 25343,Computer Science,7.2,36.5,95.9,2,59.8
CS27343,Student 25344,Computer Science,6.3,82.4,96.4,0,74.5
CS27344,Student 25345,Computer Science,5.1,75.1,41.6,0,52.7
CS27345,Student 25346,Computer Science,7.0,96.1,35.0,3,65.9
CS27346,Student 25347,Computer Science,8.2,43.3,63.9,1,53.9
CS27347,Student 25348,Electrical,7.2,57.9,35.3,0,48.1
CS27348,Student 25349,Mechanical,9.9,55.6,53.4,2,60.1
CS27349,Student 25350,Mechanical,9.8,51.0,74.5,3,65.3
CS27350,Student 25351,Mechanical,7.3,49.1,61.6,2,54.7
CS27351,Student 25352,Computer Science,9.6,42.7,35.3,3,49.9
CS27352,Student 25353,Civil,9.5,98.3,96.7,0,87.3
CS27353,Student 25354,Civil,9.7,80.1,31.6,2,62.9
CS27354,Student 25355,Computer Science,6.5,70.3,30.4,1,51.2
CS27355,Student 25356,Electrical,8.6,63.3,92.3,0,70.2
CS27356,Student 25357,Computer Science,6.5,78.1,53.7,0,60.3
CS27357,Student 25358,Mechanical,9.7,63.0,68.5,3,68.2
CS27358,Student 25359,Civil,6.8,72.7,83.2,3,70.6
CS27359,Student 25360,Mechanical,8.7,56.8,44.6,0,53.5
CS27360,Student 25361,Computer Science,6.0,80.9,48.8,2,61.0
CS27361,Student 25362,Mechanical,8.6,76.7,71.4,2,71.3
CS27362,Student 25363,Computer Science,7.6,35.4,46.1,2,45.2
CS27363,Student 25364,Computer Science,5.5,45.3,81.7,0,53.6
CS27364,Student 25365,Computer Science,9.0,78.2,87.3,3,78.5
CS27365,Student 25366,Mechanical,9.0,93.4,43.9,3,71.5
CS27366,Student 25367,Civil,7.8,95.9,88.5,0,80.5
CS27367,Student 25368,Mechanical,9.8,71.7,41.8,0,60.8
CS27368,Student 25369,Civil,8.9,49.2,35.3,2,50.1
CS27369,Student 25370,Computer Science,5.9,65.4,31.8,1,48.5
CS27370,Student 25371,Mechanical,8.4,79.2,96.7,0,77.5
CS27371,Student 25372,Computer Science,5.6,63.4,78.7,1,61.2
CS27372,Student 25373,Mechanical,6.9,46.3,96.8,0,61.4
CS27373,Student 25374,Electrical,8.3,77.6,74.2,1,70.9
CS27374,Student 25375,Electrical,5.2,74.6,84.4,2,67.6
CS27375,Student 25376,Civil,8.5,79.7,31.4,0,58.3
CS27376,Student 25377,Electrical,9.2,37.1,63.1,0,52.2
CS27377,Student 25378,Mechanical,10.0,98.3,80.6,3,86.5
CS27378,Student 25379,Electrical,5.3,56.2,98.8,3,65.7
CS27379,Student 25380,Mechanical,9.3,76.7,76.2,3,75.1
CS27380,Student 25381,Mechanical,7.3,37.6,51.7,3,48.2
CS27381,Student 25382,Mechanical,7.8,54.4,62.9,2,58.2
CS27382,Student 25383,Mechanical,8.0,81.4,58.3,1,67.0
CS27383,Student 25384,Electrical,7.2,31.0,56.6,3,46.8
CS27384,Student 25385,Civil,7.2,84.3,93.9,1,77.3
CS27385,Student 25386,Mechanical,7.9,74.0,39.9,1,58.4
CS27386,Student 25387,Computer Science,9.1,56.9,88.5,1,68.5
CS27387,Student 25388,Civil,5.2,99.2,52.0,0,65.7
CS27388,Student 25389,Computer Science,6.5,57.7,51.7,3,54.6
CS27389,Student 25390,Computer Science,9.6,45.4,54.5,0,53.7
CS27390,Student 25391,Mechanical,7.4,39.9,31.2,1,41.1
CS27391,Student 25392,Electrical,7.9,61.8,93.6,2,70.6
CS27392,Student 25393,Civil,5.1,72.2,85.5,2,66.7
CS27393,Student 25394,Civil,8.4,87.7,43.8,2,67.0
CS27394,Student 25395,Electrical,6.1,49.0,89.6,1,59.7
CS27395,Student 25396,Civil,6.7,69.2,91.8,2,70.6
CS27396,Student 25397,Electrical,8.0,44.7,47.9,2,50.2
CS27397,Student 25398,Mechanical,6.7,73.7,81.8,2,69.4
CS27398,Student 25399,Mechanical,9.8,45.2,69.1,2,60.4
CS27399,Student 25400,Mechanical,7.1,34.8,60.1,0,46.2
CS27400,Student 25401,Civil,7.0,67.9,84.2,2,68.4
CS27401,Student 25402,Electrical,6.6,67.2,82.9,0,65.0
CS27402,Student 25403,Electrical,8.6,32.8,63.3,1,50.3
CS27403,Student 25404,Electrical,6.5,91.0,97.5,3,81.7
CS27404,Student 25405,Civil,8.2,73.0,60.1,3,66.6
CS27405,Student 25406,Electrical,5.3,70.6,41.4,3,54.3
CS27406,Student 25407,Computer Science,9.6,79.5,94.7,1,80.4
CS27407,Student 25408,Mechanical,9.1,83.8,40.2,0,63.8
CS27408,Student 25409,Civil,9.4,39.3,34.7,3,47.9
CS27409,Student 25410,Mechanical,6.3,51.5,63.9,2,54.4
CS27410,Student 25411,Electrical,7.8,94.7,31.8,2,65.0
CS27411,Student 25412,Mechanical,7.4,37.9,37.5,3,44.2
CS27412,Student 25413,Mechanical,10.0,89.7,42.6,3,71.7
CS27413,Student 25414,Mechanical,5.9,91.1,42.7,3,64.0
CS27414,Student 25415,Computer Science,8.6,69.2,77.0,2,70.0
CS27415,Student 25416,Mechanical,7.5,64.5,84.2,3,69.1
CS27416,Student 25417,Civil,9.6,93.7,48.3,2,73.2
CS27417,Student 25418,Computer Science,6.7,63.0,75.0,1,62.1
CS27418,Student 25419,Computer Science,9.4,78.2,46.4,2,66.0
CS27419,Student 25420,Computer Science,9.9,60.1,32.9,1,54.7
CS27420,Student 25421,Electrical,6.0,60.4,86.4,1,63.1
CS27421,Student 25422,Electrical,5.7,34.8,62.8,2,46.2
CS27422,Student 25423,Civil,6.1,67.6,97.2,3,71.4
CS27423,Student 25424,Mechanical,9.8,85.4,74.6,0,76.1
CS27424,Student 25425,Mechanical,9.8,99.8,37.5,1,71.8
CS27425,Student 25426,Mechanical,5.5,84.3,81.6,1,70.2
CS27426,Student 25427,Computer Science,7.1,87.5,80.5,0,73.3
CS27427,Student 25428,Electrical,9.1,38.6,59.8,0,51.6
CS27428,Student 25429,Civil,7.1,96.0,40.6,0,64.8
CS27429,Student 25430,Mechanical,7.8,34.9,94.7,0,58.0
CS27430,Student 25431,Mechanical,8.5,85.0,35.4,0,61.6
CS27431,Student 25432,Civil,5.3,46.7,68.5,1,50.8
CS27432,Student 25433,Computer Science,8.1,53.3,64.6,0,56.9
CS27433,Student 25434,Civil,8.8,61.9,70.7,2,65.6
CS27434,Student 25435,Computer Science,7.1,79.1,66.7,3,68.9
CS27435,Student 25436,Mechanical,8.6,47.8,71.3,1,58.7
CS27436,Student 25437,Mechanical,9.9,75.8,67.0,0,70.2
CS27437,Student 25438,Mechanical,6.7,76.6,90.1,2,73.1
CS27438,Student 25439,Mechanical,9.6,49.6,95.5,3,70.7
CS27439,Student 25440,Mechanical,6.8,40.4,83.0,3,57.7
CS27440,Student 25441,Mechanical,8.5,30.9,30.6,3,41.5
CS27441,Student 25442,Computer Science,7.1,53.0,92.8,3,66.2
CS27442,Student 25443,Electrical,5.9,81.9,99.0,0,74.3
CS27443,Student 25444,Computer Science,6.3,33.7,62.0,1,45.7
CS27444,Student 25445,Electrical,9.3,47.2,54.6,3,56.9
CS27445,Student 25446,Civil,6.0,85.8,88.5,2,74.9
CS27446,Student 25447,Mechanical,9.1,39.4,76.2,0,56.8
CS27447,Student 25448,Mechanical,8.1,41.8,50.9,2,50.2
CS27448,Student 25449,Civil,5.3,72.4,70.2,1,61.6
CS27449,Student 25450,Computer Science,6.3,39.6,39.2,2,42.2
CS27450,Student 25451,Computer Science,7.1,70.3,81.0,0,66.6
CS27451,Student 25452,Electrical,6.1,97.0,63.6,0,70.1
CS27452,Student 25453,Mechanical,6.5,35.5,56.0,0,44.0
CS27453,Student 25454,Electrical,9.6,64.7,98.9,3,77.8
CS27454,Student 25455,Civil,5.9,37.7,81.3,2,53.3
CS27455,Student 25456,Mechanical,6.4,35.2,70.6,3,51.1
CS27456,Student 25457,Civil,6.6,60.3,70.7,3,61.5
CS27457,Student 25458,Computer Science,8.5,56.6,34.0,0,49.8
CS27458,Student 25459,Computer Science,5.2,93.9,86.1,1,74.8
CS27459,Student 25460,Mechanical,8.8,89.7,77.5,3,79.7
CS27460,Student 25461,Civil,6.3,32.5,54.4,3,44.9
CS27461,Student 25462,Computer Science,5.5,79.5,61.0,0,61.1
CS27462,Student 25463,Computer Science,7.8,44.8,53.5,0,49.6
CS27463,Student 25464,Mechanical,5.8,33.1,80.2,3,51.9
CS27464,Student 25465,Civil,6.8,65.0,37.0,1,51.7
CS27465,Student 25466,Mechanical,9.4,84.9,67.3,1,74.0
CS27466,Student 25467,Mechanical,5.5,74.1,98.6,3,73.2
CS27467,Student 25468,Mechanical,8.1,52.1,62.6,0,55.8
CS27468,Student 25469,Electrical,7.2,66.5,69.8,2,63.9
CS27469,Student 25470,Computer Science,9.4,30.0,87.6,1,58.1
CS27470,Student 25471,Civil,6.7,89.2,92.4,0,76.8
CS27471,Student 25472,Computer Science,7.6,85.8,82.0,1,75.1
CS27472,Student 25473,Mechanical,7.3,30.5,58.5,3,47.4
CS27473,Student 25474,Civil,9.1,46.2,74.6,2,61.1
CS27474,Student 25475,Civil,8.6,74.8,45.5,1,61.8
CS27475,Student 25476,Electrical,6.5,61.9,40.8,1,51.0
CS27476,Student 25477,Mechanical,8.7,74.8,56.7,2,66.3
CS27477,Student 25478,Mechanical,6.5,79.3,86.0,0,70.5
CS27478,Student 25479,Computer Science,9.3,51.1,51.4,2,56.5
CS27479,Student 25480,Computer Science,5.2,89.8,69.8,1,68.3
CS27480,Student 25481,Mechanical,8.1,32.2,86.0,1,55.9
CS27481,Student 25482,Computer Science,9.3,83.5,76.8,1,76.0
CS27482,Student 25483,Computer Science,7.0,62.5,58.8,2,58.6
CS27483,Student 25484,Computer Science,9.9,42.5,34.1,1,48.0
CS27484,Student 25485,Electrical,5.1,57.2,44.8,0,46.5
CS27485,Student 25486,Civil,7.7,63.8,48.7,0,55.5
CS27486,Student 25487,Civil,9.5,95.2,44.1,2,72.3
CS27487,Student 25488,Mechanical,6.2,44.4,90.8,0,57.4
CS27488,Student 25489,Mechanical,9.6,46.5,89.9,0,64.8
CS27489,Student 25490,Mechanical,5.6,42.9,39.1,2,42.1
CS27490,Student 25491,Computer Science,7.0,98.0,88.3,0,79.7
CS27491,Student 25492,Computer Science,9.6,87.0,72.0,0,75.6
CS27492,Student 25493,Computer Science,8.3,70.5,75.5,0,67.5
CS27493,Student 25494,Mechanical,9.7,68.3,68.8,3,70.4
CS27494,Student 25495,Civil,5.9,42.8,50.2,2,46.0
CS27495,Student 25496,Computer Science,9.5,88.3,34.6,3,67.7
CS27496,Student 25497,Computer Science,7.3,71.0,83.5,3,71.1
CS27497,Student 25498,Electrical,7.0,47.8,73.3,2,57.1
CS27498,Student 25499,Computer Science,7.4,97.8,80.7,0,78.1
CS27499,Student 25500,Civil,9.7,36.0,91.1,1,62.1
CS27500,Student 25501,Computer Science,6.1,98.7,89.3,3,81.5
CS27501,Student 25502,Mechanical,9.9,74.3,48.9,0,64.2
CS27502,Student 25503,Civil,5.5,99.2,43.3,2,65.7
CS27503,Student 25504,Electrical,9.8,66.1,88.6,0,72.6
CS27504,Student 25505,Mechanical,8.5,40.2,55.8,3,52.8
CS27505,Student 25506,Electrical,7.6,39.2,79.5,1,55.7
CS27506,Student 25507,Mechanical,5.3,48.0,47.0,0,43.9
CS27507,Student 25508,Mechanical,6.0,55.1,43.4,3,50.1
CS27508,Student 25509,Civil,9.9,79.8,58.7,0,69.3
CS27509,Student 25510,Mechanical,6.8,66.4,74.4,3,65.5
CS27510,Student 25511,Electrical,9.9,83.4,41.2,1,66.5
CS27511,Student 25512,Mechanical,7.7,46.3,72.5,0,55.7
CS27512,Student 25513,Computer Science,6.2,47.1,80.3,2,57.3
CS27513,Student 25514,Electrical,9.5,93.4,64.5,3,78.7
CS27514,Student 25515,Electrical,5.5,99.0,72.6,3,75.4
CS27515,Student 25516,Computer Science,10.0,55.2,91.3,3,72.5
CS27516,Student 25517,Computer Science,9.8,51.3,46.0,2,55.9
CS27517,Student 25518,Mechanical,7.8,90.1,47.5,2,67.9
CS27518,Student 25519,Electrical,7.7,72.4,44.2,1,58.6
CS27519,Student 25520,Civil,7.8,59.2,99.6,3,72.2
CS27520,Student 25521,Civil,6.4,96.1,79.1,2,77.0
CS27521,Student 25522,Computer Science,7.5,50.3,65.4,1,55.7
CS27522,Student 25523,Computer Science,6.2,95.5,86.3,3,79.5
CS27523,Student 25524,Civil,5.1,55.5,56.7,2,51.4
CS27524,Student 25525,Electrical,7.4,96.2,49.5,3,71.1
CS27525,Student 25526,Electrical,6.6,80.4,59.1,3,66.1
CS27526,Student 25527,Mechanical,8.8,56.6,89.3,0,67.0
CS27527,Student 25528,Electrical,9.4,84.0,82.2,3,80.1
CS27528,Student 25529,Mechanical,9.0,68.7,51.6,2,63.0
CS27529,Student 25530,Electrical,7.4,32.3,43.8,0,40.9
CS27530,Student 25531,Mechanical,9.9,71.0,83.4,0,73.2
CS27531,Student 25532,Computer Science,8.2,56.7,65.9,3,61.9
CS27532,Student 25533,Electrical,7.3,38.6,32.6,3,42.8
CS27533,Student 25534,Civil,8.4,49.6,89.0,3,66.3
CS27534,Student 25535,Electrical,6.2,79.0,38.3,0,55.5
CS27535,Student 25536,Civil,9.9,95.0,37.0,3,71.9
CS27536,Student 25537,Electrical,9.0,40.5,80.4,0,58.3
CS27537,Student 25538,Electrical,7.8,84.1,81.2,0,73.6
CS27538,Student 25539,Computer Science,5.2,36.7,57.8,2,44.4
CS27539,Student 25540,Mechanical,5.6,97.2,61.7,3,71.6
CS27540,Student 25541,Mechanical,7.3,87.1,80.1,0,73.5
CS27541,Student 25542,Mechanical,9.5,72.8,33.1,3,61.0
CS27542,Student 25543,Civil,8.9,44.0,77.5,0,58.7
CS27543,Student 25544,Mechanical,5.3,61.2,55.6,2,53.8
CS27544,Student 25545,Computer Science,7.4,78.4,83.4,0,71.2
CS27545,Student 25546,Civil,9.0,93.1,99.9,2,87.2
CS27546,Student 25547,Computer Science,5.6,94.9,54.3,0,65.5
CS27547,Student 25548,Electrical,5.7,58.0,73.0,2,58.5
CS27548,Student 25549,Computer Science,10.0,39.6,95.3,1,65.4
CS27549,Student 25550,Electrical,6.4,42.6,35.8,1,41.6
CS27550,Student 25551,Electrical,5.4,90.7,98.0,3,79.5
CS27551,Student 25552,Civil,9.4,83.1,35.3,3,65.6
CS27552,Student 25553,Civil,8.8,47.2,41.3,0,48.9
CS27553,Student 25554,Civil,6.7,79.5,37.9,2,58.6
CS27554,Student 25555,Computer Science,9.7,30.3,32.3,3,44.2
CS27555,Student 25556,Mechanical,8.1,52.8,75.6,3,63.0
CS27556,Student 25557,Mechanical,5.8,79.0,43.1,0,56.1
CS27557,Student 25558,Civil,6.1,70.7,48.5,1,56.0
CS27558,Student 25559,Mechanical,5.4,71.5,52.5,3,58.2
CS27559,Student 25560,Mechanical,8.3,90.0,42.1,2,67.2
CS27560,Student 25561,Mechanical,9.3,37.7,71.2,0,55.0
CS27561,Student 25562,Mechanical,6.0,79.2,54.8,1,61.1
CS27562,Student 25563,Mechanical,8.2,41.5,44.8,2,48.4
CS27563,Student 25564,Civil,6.5,45.1,78.2,3,57.5
CS27564,Student 25565,Computer Science,5.6,81.5,79.3,0,67.6
CS27565,Student 25566,Mechanical,6.2,82.5,70.1,3,69.4
CS27566,Student 25567,Computer Science,6.3,31.1,68.3,2,47.5
CS27567,Student 25568,Mechanical,8.3,95.5,94.0,0,83.0
CS27568,Student 25569,Electrical,8.6,95.2,81.1,3,82.6
CS27569,Student 25570,Computer Science,6.6,56.9,46.7,1,51.0
CS27570,Student 25571,Civil,9.5,81.5,83.0,0,76.5
CS27571,Student 25572,Civil,9.4,31.1,67.8,0,51.6
CS27572,Student 25573,Electrical,6.0,55.4,73.5,0,56.2
CS27573,Student 25574,Mechanical,5.1,58.0,91.8,0,60.9
CS27574,Student 25575,Civil,8.2,54.9,50.3,3,56.5
CS27575,Student 25576,Mechanical,5.6,43.0,56.3,1,46.3
CS27576,Student 25577,Electrical,5.7,40.8,74.1,2,51.9
CS27577,Student 25578,Electrical,8.5,52.0,82.4,2,64.5
CS27578,Student 25579,Electrical,7.1,59.4,90.2,2,67.0
CS27579,Student 25580,Computer Science,8.1,67.3,73.6,3,68.2
CS27580,Student 25581,Mechanical,9.9,97.1,65.0,1,79.1
CS27581,Student 25582,Electrical,8.2,69.2,45.1,3,60.6
CS27582,Student 25583,Civil,8.7,82.3,31.3,0,59.7
CS27583,Student 25584,Civil,7.0,58.4,66.1,1,58.2
CS27584,Student 25585,Civil,8.4,49.2,37.7,2,49.8
CS27585,Student 25586,Civil,8.1,54.0,84.7,1,64.2
CS27586,Student 25587,Computer Science,6.3,77.0,30.9,0,52.7
CS27587,Student 25588,Civil,7.9,42.9,45.7,0,46.7
CS27588,Student 25589,Civil,9.5,84.6,79.7,1,77.8
CS27589,Student 25590,Mechanical,9.8,67.9,85.7,0,72.5
CS27590,Student 25591,Electrical,6.8,45.2,92.1,1,60.3
CS27591,Student 25592,Computer Science,5.9,43.7,54.4,1,46.6
CS27592,Student 25593,Mechanical,8.4,38.3,93.0,1,61.0
CS27593,Student 25594,Mechanical,7.5,33.9,51.8,1,45.1
CS27594,Student 25595,Mechanical,6.5,95.2,30.5,0,60.2
CS27595,Student 25596,Mechanical,6.9,85.3,84.1,2,75.1
CS27596,Student 25597,Mechanical,5.5,99.3,75.5,2,75.4
CS27597,Student 25598,Computer Science,5.2,68.5,35.8,0,48.5
CS27598,Student 25599,Computer Science,7.9,45.3,44.8,3,50.4
CS27599,Student 25600,Electrical,9.8,96.6,90.7,1,86.4
CS27600,Student 25601,Mechanical,7.0,35.6,96.8,0,57.3
CS27601,Student 25602,Electrical,7.5,48.5,85.1,0,59.9
CS27602,Student 25603,Electrical,8.5,67.7,34.5,0,54.4
CS27603,Student 25604,Civil,9.2,56.1,73.5,1,63.9
CS27604,Student 25605,Computer Science,7.3,30.3,84.3,1,53.0
CS27605,Student 25606,Computer Science,7.3,73.9,45.7,2,59.9
CS27606,Student 25607,Civil,9.9,79.8,84.4,1,78.0
CS27607,Student 25608,Mechanical,6.8,65.7,92.7,1,68.7
CS27608,Student 25609,Civil,5.5,53.6,84.6,2,59.8
CS27609,Student 25610,Electrical,8.8,70.9,53.2,0,61.9
CS27610,Student 25611,Computer Science,5.6,57.9,80.2,1,59.4
CS27611,Student 25612,Electrical,5.3,86.4,52.6,3,63.9
CS27612,Student 25613,Computer Science,9.1,59.9,35.0,2,54.7
CS27613,Student 25614,Civil,9.7,80.0,85.4,3,80.0
CS27614,Student 25615,Electrical,9.6,91.9,87.7,3,85.3
CS27615,Student 25616,Computer Science,7.2,51.2,59.1,2,54.6
CS27616,Student 25617,Computer Science,9.6,41.0,90.6,2,64.8
CS27617,Student 25618,Civil,8.6,82.2,51.0,1,66.4
CS27618,Student 25619,Mechanical,8.4,42.0,41.4,2,48.0
CS27619,Student 25620,Electrical,7.5,44.9,42.1,0,45.6
CS27620,Student 25621,Civil,5.1,97.3,91.8,3,79.7
CS27621,Student 25622,Mechanical,5.3,61.4,72.7,0,57.0
CS27622,Student 25623,Computer Science,6.8,88.8,74.8,0,71.6
CS27623,Student 25624,Civil,9.5,63.3,62.5,3,66.1
CS27624,Student 25625,Computer Science,5.6,63.5,58.3,1,55.1
CS27625,Student 25626,Computer Science,9.4,81.1,45.8,0,65.0
CS27626,Student 25627,Mechanical,9.5,51.1,62.0,3,61.0
CS27627,Student 25628,Civil,5.8,46.4,93.7,1,59.3
CS27628,Student 25629,Civil,5.1,90.9,58.6,0,64.1
CS27629,Student 25630,Mechanical,7.2,61.7,34.5,2,51.4
CS27630,Student 25631,Mechanical,6.7,78.8,64.5,2,66.3
CS27631,Student 25632,Civil,6.1,97.3,64.8,1,71.6
CS27632,Student 25633,Civil,5.6,66.8,51.8,0,53.5
CS27633,Student 25634,Electrical,5.2,46.5,90.4,0,56.1
CS27634,Student 25635,Electrical,8.2,42.3,30.2,3,45.4
CS27635,Student 25636,Electrical,6.1,30.3,53.3,1,41.3
CS27636,Student 25637,Mechanical,8.3,61.6,47.6,1,56.5
CS27637,Student 25638,Civil,8.0,31.3,38.6,3,43.1
CS27638,Student 25639,Civil,7.1,77.5,48.3,0,59.7
CS27639,Student 25640,Civil,7.7,96.8,35.6,3,67.8
CS27640,Student 25641,Electrical,8.8,37.6,42.7,2,47.5
CS27641,Student 25642,Civil,5.2,85.7,55.8,2,63.4
CS27642,Student 25643,Electrical,6.5,66.6,76.2,2,64.5
CS27643,Student 25644,Mechanical,9.0,91.0,47.4,2,70.6
CS27644,Student 25645,Computer Science,8.1,69.4,47.5,2,60.2
CS27645,Student 25646,Mechanical,8.4,82.1,70.5,3,73.8
CS27646,Student 25647,Civil,8.9,74.1,93.5,2,77.5
CS27647,Student 25648,Mechanical,9.5,38.6,38.7,3,49.1
CS27648,Student 25649,Civil,6.4,93.4,84.5,0,75.5
CS27649,Student 25650,Civil,8.8,73.7,69.3,3,70.9
